City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Chokurdakh,RU,2019-11-11 05:04:18,70.62,147.9,3.85,92,100,4.72,overcast clouds,0,0
1,Airai,TL,2019-11-11 05:04:18,-8.93,125.41,85.35,39,5,7.18,clear sky,0,0
2,Luderitz,NA,2019-11-11 05:04:18,-26.65,15.16,57.2,93,0,4.7,clear sky,0,0
3,Busselton,AU,2019-11-11 05:04:18,-33.64,115.35,75.99,23,0,5.32,clear sky,0,0
4,Umm Kaddadah,SD,2019-11-11 05:04:19,13.6,26.69,73.02,17,16,15.75,few clouds,0,0
5,Carnarvon,ZA,2019-11-11 05:04:19,-30.97,22.13,69.58,37,65,14.83,broken clouds,0,0
6,Kaniama,CD,2019-11-11 05:04:19,-7.57,24.18,70.81,93,91,3.36,light rain,0.38,0
7,Axim,GH,2019-11-11 05:04:19,4.87,-2.24,75.07,93,100,2.15,light rain,0.19,0
8,Victoria,BN,2019-11-11 05:00:08,5.28,115.24,87.8,66,75,3.36,broken clouds,0,0
9,Tabuk,PH,2019-11-11 05:04:20,17.41,121.44,78.48,81,35,15.64,light rain,0.5,0
10,Rikitea,PF,2019-11-11 05:04:20,-23.12,-134.97,73.99,85,93,20.33,light rain,0.63,0
11,Manjeshwar,IN,2019-11-11 05:04:20,12.72,74.89,84.2,74,20,3.36,few clouds,0,0
12,Ahuimanu,US,2019-11-11 05:04:21,21.44,-157.84,82.4,74,1,2.64,clear sky,0,0
13,Vaini,IN,2019-11-11 05:04:21,15.34,74.49,78.8,61,0,6.93,clear sky,0,0
14,Palamedu,IN,2019-11-11 05:04:21,10.12,78.12,84.2,79,20,4.9,haze,0,0
15,Hobyo,SO,2019-11-11 05:04:21,5.35,48.53,83.17,58,25,14.5,scattered clouds,0,0
16,Aleksandrovsk-Sakhalinskiy,RU,2019-11-11 05:04:22,50.9,142.16,40.03,76,40,17.0,scattered clouds,0,0
17,Cape Town,ZA,2019-11-11 05:00:03,-33.93,18.42,66.0,88,90,10.29,overcast clouds,0,0
18,Hermanus,ZA,2019-11-11 05:04:22,-34.42,19.24,66.0,85,94,10.0,moderate rain,3.25,0
19,Silver City,US,2019-11-11 05:02:19,32.77,-108.28,57.0,66,1,8.05,clear sky,0,0
20,Karratha,AU,2019-11-11 05:04:22,-20.74,116.85,83.28,58,0,14.81,clear sky,0,0
21,Itoman,JP,2019-11-11 05:04:23,26.12,127.67,77.0,53,20,16.11,few clouds,0,0
22,Katsuura,JP,2019-11-11 05:04:23,33.93,134.5,69.8,67,40,20.8,shower rain,0,0
